Name,ID,Pilar,Tipo,Descrição,Fornecedor A,Fornecedor B,Fornecedor C,Roadmap,Decisão,Resposta inventário,Notas
3.3 — KPIs específicos por agente/caso de uso,3.3,3 — Testes e avaliação,Expectativa,KPIs específicos por agente/caso de uso,—,—,—,—,—,,
3.4 — Avaliação e pontuação contínua dos resultados,3.4,3 — Testes e avaliação,Expectativa,Avaliação e pontuação contínua dos resultados,—,—,—,—,—,,
3.5 — Monitoramento em produção e refinamento contínuo,3.5,3 — Testes e avaliação,Expectativa,Monitoramento em produção e refinamento contínuo,—,—,—,—,—,,
"3.A1 — Testes baseados em personas, casos de uso e intenções",3.A1,3 — Testes e avaliação,Avançado,"Testes baseados em personas, casos de uso e intenções",—,—,—,—,—,,
3.A2 — Simulação de situações reais e testes de estresse,3.A2,3 — Testes e avaliação,Avançado,Simulação de situações reais e testes de estresse,—,—,—,—,—,,
3.A3 — LLM-as-a-judge,3.A3,3 — Testes e avaliação,Avançado,LLM-as-a-judge,—,—,—,—,—,,
3.A4 — Comparação champion/challenger,3.A4,3 — Testes e avaliação,Avançado,Comparação champion/challenger,—,—,—,—,—,,
3.A5 — Implantação gradual (recomendação → copiloto → automação → autonomia),3.A5,3 — Testes e avaliação,Avançado,Implantação gradual (recomendação → copiloto → automação → autonomia),—,—,—,—,—,,
"4.1 — Implantação cloud, edge, local ou híbrida",4.1,4 — Implantação,Expectativa,"Implantação cloud, edge, local ou híbrida",—,—,—,—,—,,
4.2 — Conectores/padrões para integrar agentes aos sistemas corporativos,4.2,4 — Implantação,Expectativa,Conectores/padrões para integrar agentes aos sistemas corporativos,—,—,—,—,—,,
4.3 — Governança consistente independente do ambiente de execução,4.3,4 — Implantação,Expectativa,Governança consistente independente do ambiente de execução,—,—,—,—,—,,
"4.4 — Integração com APIs, sistemas de registro e fluxos existentes",4.4,4 — Implantação,Expectativa,"Integração com APIs, sistemas de registro e fluxos existentes",—,—,—,—,—,,
"4.5 — Gestão de versões, ambientes e configurações",4.5,4 — Implantação,Expectativa,"Gestão de versões, ambientes e configurações",—,—,—,—,—,,
4.A1 — Integração nativa com plataformas externas de agentes/dev,4.A1,4 — Implantação,Avançado,Integração nativa com plataformas externas de agentes/dev,—,—,—,—,—,,
4.A2 — Incorporação direta dos agentes aos processos corporativos,4.A2,4 — Implantação,Avançado,Incorporação direta dos agentes aos processos corporativos,—,—,—,—,—,,
4.A3 — Monitoramento contínuo das aplicações em produção,4.A3,4 — Implantação,Avançado,Monitoramento contínuo das aplicações em produção,—,—,—,—,—,,
4.A4 — Alertas de degradação e model drift,4.A4,4 — Implantação,Avançado,Alertas de degradação e model drift,—,—,—,—,—,,
4.A5 — Diagnóstico de causa raiz para falhas agentic,4.A5,4 — Implantação,Avançado,Diagnóstico de causa raiz para falhas agentic,—,—,—,—,—,,
5.1 — Orquestrador baseado em LLM capaz de decompor tarefas,5.1,5 — Orquestração,Expectativa,Orquestrador baseado em LLM capaz de decompor tarefas,—,—,—,—,—,,
5.2 — Distribuição de carga e direcionamento de atividades,5.2,5 — Orquestração,Expectativa,Distribuição de carga e direcionamento de atividades,—,—,—,—,—,,
5.3 — Coordenação entre múltiplos agentes,5.3,5 — Orquestração,Expectativa,Coordenação entre múltiplos agentes,—,—,—,—,—,,
5.4 — Pontos de aprovação e controle humano,5.4,5 — Orquestração,Expectativa,Pontos de aprovação e controle humano,—,—,—,—,—,,
5.5 — Camada compartilhada de memória e contexto corporativo,5.5,5 — Orquestração,Expectativa,Camada compartilhada de memória e contexto corporativo,—,—,—,—,—,,
5.6 — Roteamento e abstração entre diferentes LLMs,5.6,5 — Orquestração,Expectativa,Roteamento e abstração entre diferentes LLMs,—,—,—,—,—,,
"5.A1 — Orquestração de agentes, subagentes e sistemas de terceiros",5.A1,5 — Orquestração,Avançado,"Orquestração de agentes, subagentes e sistemas de terceiros",—,—,—,—,—,,
5.A2 — Transferência de tarefas e contexto entre agentes,5.A2,5 — Orquestração,Avançado,Transferência de tarefas e contexto entre agentes,—,—,—,—,—,,
5.A3 — Memória persistente entre sessões,5.A3,5 — Orquestração,Avançado,Memória persistente entre sessões,—,—,—,—,—,,
5.A4 — Otimização proativa dos fluxos de trabalho,5.A4,5 — Orquestração,Avançado,Otimização proativa dos fluxos de trabalho,—,—,—,—,—,,
5.A5 — Roteamento dinâmico de modelos e gestão de cargas,5.A5,5 — Orquestração,Avançado,Roteamento dinâmico de modelos e gestão de cargas,—,—,—,—,—,,
5.A6 — Redes dinâmicas de agentes conforme a necessidade,5.A6,5 — Orquestração,Avançado,Redes dinâmicas de agentes conforme a necessidade,—,—,—,—,—,,
6.1 — Plano de controle centralizado para agentes e aplicações,6.1,6 — Governança e controle,Expectativa,Plano de controle centralizado para agentes e aplicações,—,—,—,—,—,,
"6.2 — Visibilidade sobre agentes, ferramentas, modelos e acessos",6.2,6 — Governança e controle,Expectativa,"Visibilidade sobre agentes, ferramentas, modelos e acessos",—,—,—,—,—,,
"6.3 — Logs de auditoria, rastreabilidade e transparência",6.3,6 — Governança e controle,Expectativa,"Logs de auditoria, rastreabilidade e transparência",—,—,—,—,—,,
6.4 — RBAC para pessoas e agentes,6.4,6 — Governança e controle,Expectativa,RBAC para pessoas e agentes,—,—,—,—,—,,
6.5 — Pontuação de confiança para resultados e fluxos agentic,6.5,6 — Governança e controle,Expectativa,Pontuação de confiança para resultados e fluxos agentic,—,—,—,—,—,,
6.6 — Controle de custos (roteamento de modelos e gestão de contexto),6.6,6 — Governança e controle,Expectativa,Controle de custos (roteamento de modelos e gestão de contexto),—,—,—,—,—,,
6.A1 — Acompanhamento de ROI das aplicações de IA,6.A1,6 — Governança e controle,Avançado,Acompanhamento de ROI das aplicações de IA,—,—,—,—,—,,
6.A2 — Regras comuns de governança para agentes internos e de terceiros,6.A2,6 — Governança e controle,Avançado,Regras comuns de governança para agentes internos e de terceiros,—,—,—,—,—,,
"6.A3 — Controle granular por usuário, agente, aplicação e ambiente",6.A3,6 — Governança e controle,Avançado,"Controle granular por usuário, agente, aplicação e ambiente",—,—,—,—,—,,
6.A4 — Monitoramento contínuo dos fluxos dos agentes,6.A4,6 — Governança e controle,Avançado,Monitoramento contínuo dos fluxos dos agentes,—,—,—,—,—,,
"6.A5 — Descoberta, identificação, pesquisa e catalogação de agentes",6.A5,6 — Governança e controle,Avançado,"Descoberta, identificação, pesquisa e catalogação de agentes",—,—,—,—,—,,
"6.A6 — Registro de endpoints, ferramentas, modelos, dados e permissões",6.A6,6 — Governança e controle,Avançado,"Registro de endpoints, ferramentas, modelos, dados e permissões",—,—,—,—,—,,
6.A7 — Gestão centralizada do ciclo de vida e da frota de agentes,6.A7,6 — Governança e controle,Avançado,Gestão centralizada do ciclo de vida e da frota de agentes,—,—,—,—,—,,
7.1 — Marketplace de agentes e componentes pré-construídos,7.1,7 — Aplicações e serviços,Expectativa,Marketplace de agentes e componentes pré-construídos,—,—,—,—,—,,
7.2 — Integração nativa de aplicações de terceiros,7.2,7 — Aplicações e serviços,Expectativa,Integração nativa de aplicações de terceiros,—,—,—,—,—,,
"7.3 — Arquitetura para entrega, implantação e sustentação",7.3,7 — Aplicações e serviços,Expectativa,"Arquitetura para entrega, implantação e sustentação",—,—,—,—,—,,
"7.4 — Suporte de especialistas, arquitetos e equipes de implantação",7.4,7 — Aplicações e serviços,Expectativa,"Suporte de especialistas, arquitetos e equipes de implantação",—,—,—,—,—,,
7.5 — Componentes reutilizáveis para acelerar casos de uso,7.5,7 — Aplicações e serviços,Expectativa,Componentes reutilizáveis para acelerar casos de uso,—,—,—,—,—,,
7.A1 — Fluxos específicos por indústria e processo,7.A1,7 — Aplicações e serviços,Avançado,Fluxos específicos por indústria e processo,—,—,—,—,—,,
7.A2 — Aplicações replicáveis com arquiteturas otimizadas,7.A2,7 — Aplicações e serviços,Avançado,Aplicações replicáveis com arquiteturas otimizadas,—,—,—,—,—,,
7.A3 — Skills pré-construídas incorporáveis aos agentes,7.A3,7 — Aplicações e serviços,Avançado,Skills pré-construídas incorporáveis aos agentes,—,—,—,—,—,,
7.A4 — Modelos especializados/ajustados por domínio,7.A4,7 — Aplicações e serviços,Avançado,Modelos especializados/ajustados por domínio,—,—,—,—,—,,
"7.A5 — Serviços para manutenção, qualidade, produção, energia, logística, segurança",7.A5,7 — Aplicações e serviços,Avançado,"Serviços para manutenção, qualidade, produção, energia, logística, segurança",—,—,—,—,—,,
S.1 — Quais agentes existem?,S.1,Síntese — Inventário organizacional,Inventario,Quais agentes existem?,,,,—,—,,
S.2 — Onde estão sendo executados?,S.2,Síntese — Inventário organizacional,Inventario,Onde estão sendo executados?,,,,—,—,,
S.3 — Quem é responsável por cada agente?,S.3,Síntese — Inventário organizacional,Inventario,Quem é responsável por cada agente?,,,,—,—,,
"S.4 — Quais dados, APIs e ferramentas podem acessar?",S.4,Síntese — Inventário organizacional,Inventario,"Quais dados, APIs e ferramentas podem acessar?",,,,—,—,,
S.5 — Quais modelos utilizam?,S.5,Síntese — Inventário organizacional,Inventario,Quais modelos utilizam?,,,,—,—,,
S.6 — Como estão performando?,S.6,Síntese — Inventário organizacional,Inventario,Como estão performando?,,,,—,—,,
S.7 — Quanto estão custando?,S.7,Síntese — Inventário organizacional,Inventario,Quanto estão custando?,,,,—,—,,
S.8 — Quais riscos apresentam?,S.8,Síntese — Inventário organizacional,Inventario,Quais riscos apresentam?,,,,—,—,,
S.9 — Qual valor geram para o negócio?,S.9,Síntese — Inventário organizacional,Inventario,Qual valor geram para o negócio?,,,,—,—,,
