ID,Pilar,Tipo,Item,Fornecedor A (v1),Fornecedor B (v2),Fornecedor C (v3),Roadmap,Decisão,Notas
3.4,3 — Testes e avaliação,Expectativa,Avaliação e pontuação contínua dos resultados,—,—,—,—,—,
3.5,3 — Testes e avaliação,Expectativa,Monitoramento em produção e refinamento contínuo,—,—,—,—,—,
3.A1,3 — Testes e avaliação,Avançado,"Testes baseados em personas, casos de uso e intenções",—,—,—,—,—,
3.A2,3 — Testes e avaliação,Avançado,Simulação de situações reais e testes de estresse,—,—,—,—,—,
3.A3,3 — Testes e avaliação,Avançado,LLM-as-a-judge,—,—,—,—,—,
3.A4,3 — Testes e avaliação,Avançado,Comparação champion/challenger,—,—,—,—,—,
3.A5,3 — Testes e avaliação,Avançado,Implantação gradual (recomendação → copiloto → automação → autonomia),—,—,—,—,—,
4.1,4 — Implantação,Expectativa,"Implantação cloud, edge, local ou híbrida",—,—,—,—,—,
4.2,4 — Implantação,Expectativa,Conectores/padrões para integrar agentes aos sistemas corporativos,—,—,—,—,—,
4.3,4 — Implantação,Expectativa,Governança consistente independente do ambiente de execução,—,—,—,—,—,
4.4,4 — Implantação,Expectativa,"Integração com APIs, sistemas de registro e fluxos existentes",—,—,—,—,—,
4.5,4 — Implantação,Expectativa,"Gestão de versões, ambientes e configurações",—,—,—,—,—,
4.A1,4 — Implantação,Avançado,Integração nativa com plataformas externas de agentes/dev,—,—,—,—,—,
4.A2,4 — Implantação,Avançado,Incorporação direta dos agentes aos processos corporativos,—,—,—,—,—,
4.A3,4 — Implantação,Avançado,Monitoramento contínuo das aplicações em produção,—,—,—,—,—,
4.A4,4 — Implantação,Avançado,Alertas de degradação e model drift,—,—,—,—,—,
4.A5,4 — Implantação,Avançado,Diagnóstico de causa raiz para falhas agentic,—,—,—,—,—,
5.1,5 — Orquestração,Expectativa,Orquestrador baseado em LLM capaz de decompor tarefas,—,—,—,—,—,
5.2,5 — Orquestração,Expectativa,Distribuição de carga e direcionamento de atividades,—,—,—,—,—,
5.3,5 — Orquestração,Expectativa,Coordenação entre múltiplos agentes,—,—,—,—,—,
5.4,5 — Orquestração,Expectativa,Pontos de aprovação e controle humano,—,—,—,—,—,
5.5,5 — Orquestração,Expectativa,Camada compartilhada de memória e contexto corporativo,—,—,—,—,—,
5.6,5 — Orquestração,Expectativa,Roteamento e abstração entre diferentes LLMs,—,—,—,—,—,
5.A1,5 — Orquestração,Avançado,"Orquestração de agentes, subagentes e sistemas de terceiros",—,—,—,—,—,
5.A2,5 — Orquestração,Avançado,Transferência de tarefas e contexto entre agentes,—,—,—,—,—,
5.A3,5 — Orquestração,Avançado,Memória persistente entre sessões,—,—,—,—,—,
5.A4,5 — Orquestração,Avançado,Otimização proativa dos fluxos de trabalho,—,—,—,—,—,
5.A5,5 — Orquestração,Avançado,Roteamento dinâmico de modelos e gestão de cargas,—,—,—,—,—,
5.A6,5 — Orquestração,Avançado,Redes dinâmicas de agentes conforme a necessidade,—,—,—,—,—,
6.1,6 — Governança e controle,Expectativa,Plano de controle centralizado para agentes e aplicações,—,—,—,—,—,
6.2,6 — Governança e controle,Expectativa,"Visibilidade sobre agentes, ferramentas, modelos e acessos",—,—,—,—,—,
6.3,6 — Governança e controle,Expectativa,"Logs de auditoria, rastreabilidade e transparência",—,—,—,—,—,
6.4,6 — Governança e controle,Expectativa,RBAC para pessoas e agentes,—,—,—,—,—,
6.5,6 — Governança e controle,Expectativa,Pontuação de confiança para resultados e fluxos agentic,—,—,—,—,—,
6.6,6 — Governança e controle,Expectativa,Controle de custos (roteamento de modelos e gestão de contexto),—,—,—,—,—,
6.A1,6 — Governança e controle,Avançado,Acompanhamento de ROI das aplicações de IA,—,—,—,—,—,
6.A2,6 — Governança e controle,Avançado,Regras comuns de governança para agentes internos e de terceiros,—,—,—,—,—,
6.A3,6 — Governança e controle,Avançado,"Controle granular por usuário, agente, aplicação e ambiente",—,—,—,—,—,
6.A4,6 — Governança e controle,Avançado,Monitoramento contínuo dos fluxos dos agentes,—,—,—,—,—,
6.A5,6 — Governança e controle,Avançado,"Descoberta, identificação, pesquisa e catalogação de agentes",—,—,—,—,—,
6.A6,6 — Governança e controle,Avançado,"Registro de endpoints, ferramentas, modelos, dados e permissões",—,—,—,—,—,
6.A7,6 — Governança e controle,Avançado,Gestão centralizada do ciclo de vida e da frota de agentes,—,—,—,—,—,
7.1,7 — Aplicações e serviços,Expectativa,Marketplace de agentes e componentes pré-construídos,—,—,—,—,—,
7.2,7 — Aplicações e serviços,Expectativa,Integração nativa de aplicações de terceiros,—,—,—,—,—,
7.3,7 — Aplicações e serviços,Expectativa,"Arquitetura para entrega, implantação e sustentação",—,—,—,—,—,
7.4,7 — Aplicações e serviços,Expectativa,"Suporte de especialistas, arquitetos e equipes de implantação",—,—,—,—,—,
7.5,7 — Aplicações e serviços,Expectativa,Componentes reutilizáveis para acelerar casos de uso,—,—,—,—,—,
7.A1,7 — Aplicações e serviços,Avançado,Fluxos específicos por indústria e processo,—,—,—,—,—,
7.A2,7 — Aplicações e serviços,Avançado,Aplicações replicáveis com arquiteturas otimizadas,—,—,—,—,—,
7.A3,7 — Aplicações e serviços,Avançado,Skills pré-construídas incorporáveis aos agentes,—,—,—,—,—,
7.A4,7 — Aplicações e serviços,Avançado,Modelos especializados/ajustados por domínio,—,—,—,—,—,
7.A5,7 — Aplicações e serviços,Avançado,"Serviços para manutenção, qualidade, produção, energia, logística, segurança",—,—,—,—,—,
