item_id,pilar,tipo,texto,empresa_id,empresa_nome,setor,porte,regiao,maturidade_ia,cobertura,cobertura_score,roadmap,decisao,resposta,comentario
2.1,2,Expectativa,Agent Studio com interface em linguagem natural,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Parcial,0.5,Em curso,Híbrido,,"Cobertura Parcial: há peças úteis para «Agent Studio com interface em linguagem natural», mas falta profundidade nativa, madureza agentic ou exige integração/customização. No pilar, registry/broker/governance maduros para orquestração multi-vendor. Roadmap «Em curso» e decisão «Híbrido» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
2.2,2,Expectativa,Suporte low-code e code-first,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Em curso,Híbrido,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Suporte low-code e code-first». No pilar, registry/broker/governance maduros para orquestração multi-vendor. Roadmap «Em curso» e decisão «Híbrido» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
2.3,2,Expectativa,Modelos reutilizáveis de agentes e fluxos de trabalho,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Em curso,Comprar,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Modelos reutilizáveis de agentes e fluxos de trabalho». No pilar, registry/broker/governance maduros para orquestração multi-vendor. Roadmap «Em curso» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
2.4,2,Expectativa,Engenharia de prompts e configuração de instruções de sistema,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Em curso,Comprar,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Engenharia de prompts e configuração de instruções de sistema». No pilar, registry/broker/governance maduros para orquestração multi-vendor. Roadmap «Em curso» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
2.5,2,Expectativa,Raciocínio em múltiplas etapas e ciclos de execução,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Parcial,0.5,Backlog,Híbrido,,"Cobertura Parcial: há peças úteis para «Raciocínio em múltiplas etapas e ciclos de execução», mas falta profundidade nativa, madureza agentic ou exige integração/customização. No pilar, registry/broker/governance maduros para orquestração multi-vendor. Roadmap «Backlog» e decisão «Híbrido» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
2.6,2,Expectativa,Independência de modelo via hub de LLMs,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Em curso,Comprar,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Independência de modelo via hub de LLMs». No pilar, registry/broker/governance maduros para orquestração multi-vendor. Roadmap «Em curso» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
2.A1,2,Avançado,"Combinação de LLMs com regras, algoritmos e componentes determinísticos",e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Em curso,Comprar,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Combinação de LLMs com regras, algoritmos e componentes determinísticos». No pilar, registry/broker/governance maduros para orquestração multi-vendor. Roadmap «Em curso» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
2.A2,2,Avançado,Integração com assistentes de desenvolvimento nativos ou de terceiros,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Parcial,0.5,Backlog,Comprar,,"Cobertura Parcial: há peças úteis para «Integração com assistentes de desenvolvimento nativos ou de terceiros», mas falta profundidade nativa, madureza agentic ou exige integração/customização. No pilar, registry/broker/governance maduros para orquestração multi-vendor. Roadmap «Backlog» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
2.A3,2,Avançado,Lógica de negócio específica por processo/domínio,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Parcial,0.5,Backlog,Híbrido,,"Cobertura Parcial: há peças úteis para «Lógica de negócio específica por processo/domínio», mas falta profundidade nativa, madureza agentic ou exige integração/customização. No pilar, registry/broker/governance maduros para orquestração multi-vendor. Roadmap «Backlog» e decisão «Híbrido» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
2.A4,2,Avançado,"Frameworks avançados (consenso, agent-as-a-judge)",e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Em curso,—,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Frameworks avançados (consenso, agent-as-a-judge)». No pilar, registry/broker/governance maduros para orquestração multi-vendor. Roadmap «Em curso» e decisão «—» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
2.A5,2,Avançado,"Otimização automática de seleção, execução e desempenho dos modelos",e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Feito,Comprar,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Otimização automática de seleção, execução e desempenho dos modelos». No pilar, registry/broker/governance maduros para orquestração multi-vendor. Roadmap «Feito» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
3.1,3,Expectativa,Ambiente sandbox para testes controlados,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Parcial,0.5,Em curso,Construir,,"Cobertura Parcial: há peças úteis para «Ambiente sandbox para testes controlados», mas falta profundidade nativa, madureza agentic ou exige integração/customização. No pilar, governança e políticas no fabric; HITL via fluxos MuleSoft/Salesforce. Roadmap «Em curso» e decisão «Construir» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
3.2,3,Expectativa,Human-in-the-Loop,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Parcial,0.5,Backlog,Construir,,"Cobertura Parcial: há peças úteis para «Human-in-the-Loop», mas falta profundidade nativa, madureza agentic ou exige integração/customização. No pilar, governança e políticas no fabric; HITL via fluxos MuleSoft/Salesforce. Roadmap «Backlog» e decisão «Construir» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
3.3,3,Expectativa,KPIs específicos por agente/caso de uso,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Não tem,0,—,Construir,,"Cobertura Não tem: não há evidência clara de suporte nativo a «KPIs específicos por agente/caso de uso» (gap típico do posicionamento atual). No pilar, governança e políticas no fabric; HITL via fluxos MuleSoft/Salesforce. Roadmap «—» e decisão «Construir» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
3.4,3,Expectativa,Avaliação e pontuação contínua dos resultados,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Parcial,0.5,Backlog,Comprar,,"Cobertura Parcial: há peças úteis para «Avaliação e pontuação contínua dos resultados», mas falta profundidade nativa, madureza agentic ou exige integração/customização. No pilar, governança e políticas no fabric; HITL via fluxos MuleSoft/Salesforce. Roadmap «Backlog» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
3.5,3,Expectativa,Monitoramento em produção e refinamento contínuo,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Parcial,0.5,Backlog,Híbrido,,"Cobertura Parcial: há peças úteis para «Monitoramento em produção e refinamento contínuo», mas falta profundidade nativa, madureza agentic ou exige integração/customização. No pilar, governança e políticas no fabric; HITL via fluxos MuleSoft/Salesforce. Roadmap «Backlog» e decisão «Híbrido» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
3.A1,3,Avançado,"Testes baseados em personas, casos de uso e intenções",e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Não tem,0,Backlog,Híbrido,,"Cobertura Não tem: não há evidência clara de suporte nativo a «Testes baseados em personas, casos de uso e intenções» (gap típico do posicionamento atual). No pilar, governança e políticas no fabric; HITL via fluxos MuleSoft/Salesforce. Roadmap «Backlog» e decisão «Híbrido» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
3.A2,3,Avançado,Simulação de situações reais e testes de estresse,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Backlog,Híbrido,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Simulação de situações reais e testes de estresse». No pilar, governança e políticas no fabric; HITL via fluxos MuleSoft/Salesforce. Roadmap «Backlog» e decisão «Híbrido» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
3.A3,3,Avançado,LLM-as-a-judge,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Feito,Híbrido,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «LLM-as-a-judge». No pilar, governança e políticas no fabric; HITL via fluxos MuleSoft/Salesforce. Roadmap «Feito» e decisão «Híbrido» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
3.A4,3,Avançado,Comparação champion/challenger,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Não tem,0,—,Construir,,"Cobertura Não tem: não há evidência clara de suporte nativo a «Comparação champion/challenger» (gap típico do posicionamento atual). No pilar, governança e políticas no fabric; HITL via fluxos MuleSoft/Salesforce. Roadmap «—» e decisão «Construir» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
3.A5,3,Avançado,Implantação gradual (recomendação → copiloto → automação → autonomia),e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Não tem,0,—,Adiar,,"Cobertura Não tem: não há evidência clara de suporte nativo a «Implantação gradual (recomendação → copiloto → automação → autonomia)» (gap típico do posicionamento atual). No pilar, governança e políticas no fabric; HITL via fluxos MuleSoft/Salesforce. Roadmap «—» e decisão «Adiar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
4.1,4,Expectativa,"Implantação cloud, edge, local ou híbrida",e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Feito,Comprar,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Implantação cloud, edge, local ou híbrida». No pilar, observabilidade via Visualizer; evals mais dependentes do ecossistema. Roadmap «Feito» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
4.2,4,Expectativa,Conectores/padrões para integrar agentes aos sistemas corporativos,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Em curso,Comprar,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Conectores/padrões para integrar agentes aos sistemas corporativos». No pilar, observabilidade via Visualizer; evals mais dependentes do ecossistema. Roadmap «Em curso» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
4.3,4,Expectativa,Governança consistente independente do ambiente de execução,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Backlog,Comprar,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Governança consistente independente do ambiente de execução». No pilar, observabilidade via Visualizer; evals mais dependentes do ecossistema. Roadmap «Backlog» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
4.4,4,Expectativa,"Integração com APIs, sistemas de registro e fluxos existentes",e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Parcial,0.5,—,Híbrido,,"Cobertura Parcial: há peças úteis para «Integração com APIs, sistemas de registro e fluxos existentes», mas falta profundidade nativa, madureza agentic ou exige integração/customização. No pilar, observabilidade via Visualizer; evals mais dependentes do ecossistema. Roadmap «—» e decisão «Híbrido» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
4.5,4,Expectativa,"Gestão de versões, ambientes e configurações",e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Parcial,0.5,Backlog,Construir,,"Cobertura Parcial: há peças úteis para «Gestão de versões, ambientes e configurações», mas falta profundidade nativa, madureza agentic ou exige integração/customização. No pilar, observabilidade via Visualizer; evals mais dependentes do ecossistema. Roadmap «Backlog» e decisão «Construir» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
4.A1,4,Avançado,Integração nativa com plataformas externas de agentes/dev,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Feito,Comprar,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Integração nativa com plataformas externas de agentes/dev». No pilar, observabilidade via Visualizer; evals mais dependentes do ecossistema. Roadmap «Feito» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
4.A2,4,Avançado,Incorporação direta dos agentes aos processos corporativos,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Não tem,0,Backlog,Comprar,,"Cobertura Não tem: não há evidência clara de suporte nativo a «Incorporação direta dos agentes aos processos corporativos» (gap típico do posicionamento atual). No pilar, observabilidade via Visualizer; evals mais dependentes do ecossistema. Roadmap «Backlog» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
4.A3,4,Avançado,Monitoramento contínuo das aplicações em produção,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Não tem,0,Backlog,Adiar,,"Cobertura Não tem: não há evidência clara de suporte nativo a «Monitoramento contínuo das aplicações em produção» (gap típico do posicionamento atual). No pilar, observabilidade via Visualizer; evals mais dependentes do ecossistema. Roadmap «Backlog» e decisão «Adiar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
4.A4,4,Avançado,Alertas de degradação e model drift,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Parcial,0.5,Em curso,Construir,,"Cobertura Parcial: há peças úteis para «Alertas de degradação e model drift», mas falta profundidade nativa, madureza agentic ou exige integração/customização. No pilar, observabilidade via Visualizer; evals mais dependentes do ecossistema. Roadmap «Em curso» e decisão «Construir» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
4.A5,4,Avançado,Diagnóstico de causa raiz para falhas agentic,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Parcial,0.5,Em curso,Comprar,,"Cobertura Parcial: há peças úteis para «Diagnóstico de causa raiz para falhas agentic», mas falta profundidade nativa, madureza agentic ou exige integração/customização. No pilar, observabilidade via Visualizer; evals mais dependentes do ecossistema. Roadmap «Em curso» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
5.1,5,Expectativa,Orquestrador baseado em LLM capaz de decompor tarefas,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Feito,—,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Orquestrador baseado em LLM capaz de decompor tarefas». No pilar, RBAC e governança enterprise Salesforce/MuleSoft. Roadmap «Feito» e decisão «—» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
5.2,5,Expectativa,Distribuição de carga e direcionamento de atividades,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Em curso,Comprar,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Distribuição de carga e direcionamento de atividades». No pilar, RBAC e governança enterprise Salesforce/MuleSoft. Roadmap «Em curso» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
5.3,5,Expectativa,Coordenação entre múltiplos agentes,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Em curso,Híbrido,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Coordenação entre múltiplos agentes». No pilar, RBAC e governança enterprise Salesforce/MuleSoft. Roadmap «Em curso» e decisão «Híbrido» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
5.4,5,Expectativa,Pontos de aprovação e controle humano,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Em curso,Híbrido,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Pontos de aprovação e controle humano». No pilar, RBAC e governança enterprise Salesforce/MuleSoft. Roadmap «Em curso» e decisão «Híbrido» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
5.5,5,Expectativa,Camada compartilhada de memória e contexto corporativo,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Em curso,Comprar,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Camada compartilhada de memória e contexto corporativo». No pilar, RBAC e governança enterprise Salesforce/MuleSoft. Roadmap «Em curso» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
5.6,5,Expectativa,Roteamento e abstração entre diferentes LLMs,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Parcial,0.5,Em curso,Construir,,"Cobertura Parcial: há peças úteis para «Roteamento e abstração entre diferentes LLMs», mas falta profundidade nativa, madureza agentic ou exige integração/customização. No pilar, RBAC e governança enterprise Salesforce/MuleSoft. Roadmap «Em curso» e decisão «Construir» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
5.A1,5,Avançado,"Orquestração de agentes, subagentes e sistemas de terceiros",e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Em curso,—,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Orquestração de agentes, subagentes e sistemas de terceiros». No pilar, RBAC e governança enterprise Salesforce/MuleSoft. Roadmap «Em curso» e decisão «—» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
5.A2,5,Avançado,Transferência de tarefas e contexto entre agentes,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Em curso,Comprar,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Transferência de tarefas e contexto entre agentes». No pilar, RBAC e governança enterprise Salesforce/MuleSoft. Roadmap «Em curso» e decisão «Comprar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
5.A3,5,Avançado,Memória persistente entre sessões,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Não tem,0,—,Adiar,,"Cobertura Não tem: não há evidência clara de suporte nativo a «Memória persistente entre sessões» (gap típico do posicionamento atual). No pilar, RBAC e governança enterprise Salesforce/MuleSoft. Roadmap «—» e decisão «Adiar» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
5.A4,5,Avançado,Otimização proativa dos fluxos de trabalho,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Feito,Híbrido,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Otimização proativa dos fluxos de trabalho». No pilar, RBAC e governança enterprise Salesforce/MuleSoft. Roadmap «Feito» e decisão «Híbrido» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
5.A5,5,Avançado,Roteamento dinâmico de modelos e gestão de cargas,e01,MuleSoft Agent Fabric,Integração / Control plane,Enterprise,Global,líder,Tem,1,Feito,—,,"Cobertura Tem porque há evidência/posicionamento público de capacidade alinhada a «Roteamento dinâmico de modelos e gestão de cargas». No pilar, RBAC e governança enterprise Salesforce/MuleSoft. Roadmap «Feito» e decisão «—» refletem se a lacuna deve ser comprada, construída ou hibridizada com MuleSoft Agent Fabric. Avaliação heurística com base em materiais públicos — validar em POC."
